Initiator,Recipient,Type
valentinois,vidamedechartres,vint
valentinois,vidamedechartres,vu
valentinois,vidamedechartres,donne
valentinois,vidamedechartres,donnait
roi,soie,dit
roi,soie,regardait
roi,soie,voyait
roi,soie,vint
roi,soie,vu
roi,soie,rougit
roi,soie,dansait
roi,soie,donne
roi,soie,donnait
martigues,dauphine,dit
martigues,dauphine,regardait
martigues,dauphine,voyait
martigues,dauphine,vint
martigues,dauphine,vu
martigues,dauphine,donne
martigues,dauphine,donnait
princessedecleves,dauphine,dit
princessedecleves,dauphine,regardait
princessedecleves,dauphine,voyait
princessedecleves,dauphine,vint
princessedecleves,dauphine,vu
princessedecleves,dauphine,donne
princessedecleves,dauphine,donnait
monsieurdeguise,soie,dit
monsieurdeguise,soie,regardait
monsieurdeguise,soie,voyait
monsieurdeguise,soie,vint
monsieurdeguise,soie,vu
monsieurdeguise,soie,rougit
monsieurdeguise,soie,dansait
monsieurdeguise,soie,donne
monsieurdeguise,soie,donnait
tournon,vidamedechartres,dit
tournon,vidamedechartres,regardait
tournon,vidamedechartres,voyait
tournon,vidamedechartres,vint
tournon,vidamedechartres,vu
tournon,vidamedechartres,donne
tournon,vidamedechartres,donnait
monsieurdecleves,cour,dit
monsieurdecleves,cour,regardait
monsieurdecleves,cour,voyait
monsieurdecleves,cour,vint
monsieurdecleves,cour,vu
monsieurdecleves,cour,donne
monsieurdecleves,cour,donnait
vidamedechartres,soie,dit
vidamedechartres,soie,regardait
vidamedechartres,soie,voyait
vidamedechartres,soie,vint
vidamedechartres,soie,vu
vidamedechartres,soie,rougit
vidamedechartres,soie,dansait
vidamedechartres,soie,donne
vidamedechartres,soie,donnait
cour,vidamedechartres,dit
cour,vidamedechartres,regardait
cour,vidamedechartres,voyait
cour,vidamedechartres,vint
cour,vidamedechartres,vu
cour,vidamedechartres,donne
cour,vidamedechartres,donnait
ducdenemours,soie,dit
ducdenemours,soie,regardait
ducdenemours,soie,voyait
ducdenemours,soie,vint
ducdenemours,soie,vu
ducdenemours,soie,rougit
ducdenemours,soie,dansait
ducdenemours,soie,donne
ducdenemours,soie,donnait
lignerolles,soie,dit
lignerolles,soie,regardait
lignerolles,soie,voyait
lignerolles,soie,vint
lignerolles,soie,vu
lignerolles,soie,rougit
lignerolles,soie,dansait
lignerolles,soie,donne
